"","Address","Port","Packets","Bytes","Tx.Packets","Tx.Bytes","Rx.Packets","Rx.Bytes","Latitude","Longitude"
"1","192.168.50.50",1033,30,1860,30,1860,0,0,"-","-"
"2","83.133.119.197",2887,45687,2837774,0,0,45687,2837774,"-","-"
"3","192.168.50.50",1035,30,1860,30,1860,0,0,"-","-"
"4","192.168.12.252",102,420388,30620524,277302,18595206,143086,12025318,"-","-"
"5","192.168.12.51",2020,67,3618,45,2430,22,1188,"-","-"
"6","192.168.50.50",1036,30,1860,30,1860,0,0,"-","-"
"7","192.168.50.50",1037,30,1860,30,1860,0,0,"-","-"
"8","192.168.50.50",1040,30,2059,30,2059,0,0,"-","-"
"9","192.168.50.11",143,1718,404464,0,0,1718,404464,"-","-"
"10","192.168.50.50",1042,30,1860,30,1860,0,0,"-","-"
"11","192.168.50.50",1043,13,992,13,992,0,0,"-","-"
"12","192.168.50.50",1044,30,1860,30,1860,0,0,"-","-"
"13","192.168.50.50",1045,30,1860,30,1860,0,0,"-","-"
"14","192.168.50.50",1046,30,1860,30,1860,0,0,"-","-"
"15","192.168.50.50",1047,30,1860,30,1860,0,0,"-","-"
"16","192.168.50.50",1048,30,1860,30,1860,0,0,"-","-"
"17","192.168.50.50",1049,30,1860,30,1860,0,0,"-","-"
"18","192.168.50.50",1050,30,1860,30,1860,0,0,"-","-"
"19","192.168.50.50",1051,36,2400,36,2400,0,0,"-","-"
"20","192.168.12.253",502,2295012,133587632,412780,26981315,1882232,106606317,"-","-"
"21","192.168.12.51",2017,36,1944,28,1512,8,432,"-","-"
"22","192.168.50.50",1052,31,1950,31,1950,0,0,"-","-"
"23","192.168.50.50",1053,30,1860,30,1860,0,0,"-","-"
"24","192.168.50.50",1054,30,1860,30,1860,0,0,"-","-"
"25","192.168.50.50",1055,30,1860,30,1860,0,0,"-","-"
"26","192.168.50.50",1056,30,1860,30,1860,0,0,"-","-"
"27","192.168.50.50",1057,30,1860,30,1860,0,0,"-","-"
"28","192.168.50.50",1058,30,1860,30,1860,0,0,"-","-"
"29","192.168.50.50",1059,30,1860,30,1860,0,0,"-","-"
"30","192.168.50.50",1060,30,1860,30,1860,0,0,"-","-"
"31","192.168.12.128",1211,34,5207,18,2873,16,2334,"-","-"
"32","192.168.12.51",139,979,144687,469,64952,510,79735,"-","-"
"33","192.168.50.50",1061,30,1860,30,1860,0,0,"-","-"
"34","192.168.50.50",1062,30,1860,30,1860,0,0,"-","-"
"35","192.168.50.50",1063,30,1860,30,1860,0,0,"-","-"
"36","192.168.50.50",1064,30,1860,30,1860,0,0,"-","-"
"37","192.168.50.50",1065,30,1860,30,1860,0,0,"-","-"
"38","192.168.50.50",1066,30,1860,30,1860,0,0,"-","-"
"39","192.168.50.50",1067,30,1860,30,1860,0,0,"-","-"
"40","192.168.50.50",1068,30,1860,30,1860,0,0,"-","-"
"41","192.168.50.50",1069,30,1860,30,1860,0,0,"-","-"
"42","192.168.50.50",1070,30,1860,30,1860,0,0,"-","-"
"43","192.168.50.50",1071,30,1860,30,1860,0,0,"-","-"
"44","83.133.119.197",58011,13,1130,13,1130,0,0,"-","-"
"45","192.168.50.50",1072,30,1860,30,1860,0,0,"-","-"
"46","192.168.50.50",1073,30,1860,30,1860,0,0,"-","-"
"47","192.168.50.50",1074,30,1860,30,1860,0,0,"-","-"
"48","192.168.50.50",1075,30,1860,30,1860,0,0,"-","-"
"49","192.168.50.50",1076,30,1860,30,1860,0,0,"-","-"
"50","192.168.50.50",1077,30,1860,30,1860,0,0,"-","-"
"51","192.168.50.50",1078,30,1860,30,1860,0,0,"-","-"
"52","192.168.50.50",1079,30,1860,30,1860,0,0,"-","-"
"53","192.168.50.50",1080,30,1860,30,1860,0,0,"-","-"
"54","192.168.50.50",1081,30,1860,30,1860,0,0,"-","-"
"55","192.168.50.50",1082,30,1860,30,1860,0,0,"-","-"
"56","192.168.50.50",1083,30,1860,30,1860,0,0,"-","-"
"57","83.133.119.197",57775,7,511,7,511,0,0,"-","-"
"58","192.168.50.50",1084,30,1860,30,1860,0,0,"-","-"
"59","192.168.50.50",1085,30,1860,30,1860,0,0,"-","-"
"60","192.168.50.50",1086,30,1860,30,1860,0,0,"-","-"
"61","192.168.50.50",1087,30,1860,30,1860,0,0,"-","-"
"62","192.168.50.50",1088,30,1860,30,1860,0,0,"-","-"
"63","192.168.50.50",1089,30,1860,30,1860,0,0,"-","-"
"64","192.168.50.50",1090,30,1860,30,1860,0,0,"-","-"
"65","192.168.50.50",1091,30,1860,30,1860,0,0,"-","-"
"66","192.168.50.50",1092,30,1860,30,1860,0,0,"-","-"
"67","192.168.50.50",1093,30,1860,30,1860,0,0,"-","-"
"68","192.168.50.50",1094,30,1860,30,1860,0,0,"-","-"
"69","192.168.50.50",1095,30,1860,30,1860,0,0,"-","-"
"70","192.168.50.50",1096,30,1860,30,1860,0,0,"-","-"
"71","192.168.50.50",1097,30,1860,30,1860,0,0,"-","-"
"72","192.168.50.50",1098,30,1860,30,1860,0,0,"-","-"
"73","192.168.12.51",2499,229774,14974568,118185,7721294,111589,7253274,"-","-"
"74","192.168.12.51",2501,28,1536,25,1374,3,162,"-","-"
"75","192.168.12.250",502,2636,152900,1318,71172,1318,81728,"-","-"
"76","192.168.12.51",2502,357257,26021104,121629,10220193,235628,15800911,"-","-"
"77","192.168.50.50",1099,30,1860,30,1860,0,0,"-","-"
"78","192.168.50.50",1100,37,2490,37,2490,0,0,"-","-"
"79","192.168.12.51",2505,28,1536,25,1374,3,162,"-","-"
"80","192.168.50.50",1101,31,1950,31,1950,0,0,"-","-"
"81","192.168.50.50",1102,30,1860,30,1860,0,0,"-","-"
"82","192.168.50.50",1103,30,1860,30,1860,0,0,"-","-"
"83","192.168.12.51",2507,28,1536,25,1374,3,162,"-","-"
"84","192.168.50.50",1104,30,1860,30,1860,0,0,"-","-"
"85","192.168.12.51",2509,28,1536,25,1374,3,162,"-","-"
"86","192.168.50.50",1105,30,1860,30,1860,0,0,"-","-"
"87","192.168.12.51",2511,28,1536,25,1374,3,162,"-","-"
"88","83.133.119.197",58199,190,14214,190,14214,0,0,"-","-"
"89","192.168.50.50",1106,30,1860,30,1860,0,0,"-","-"
"90","83.133.119.197",58200,349,314487,349,314487,0,0,"-","-"
"91","192.168.12.51",2513,28,1536,25,1374,3,162,"-","-"
"92","192.168.50.50",1107,30,1860,30,1860,0,0,"-","-"
"93","192.168.50.50",1108,30,1860,30,1860,0,0,"-","-"
"94","192.168.50.50",1109,30,1860,30,1860,0,0,"-","-"
"95","192.168.12.51",2515,28,1536,25,1374,3,162,"-","-"
"96","192.168.50.50",1110,30,1860,30,1860,0,0,"-","-"
"97","192.168.50.50",1111,30,1860,30,1860,0,0,"-","-"
"98","192.168.50.50",1112,30,1860,30,1860,0,0,"-","-"
"99","192.168.12.51",2517,28,1536,25,1374,3,162,"-","-"
"100","83.133.119.197",46923,109,150678,109,150678,0,0,"-","-"
"101","192.168.50.11",25,563,756348,0,0,563,756348,"-","-"
"102","192.168.50.50",1113,30,1860,30,1860,0,0,"-","-"
"103","192.168.50.50",1114,30,1860,30,1860,0,0,"-","-"
"104","192.168.12.51",2519,28,1536,25,1374,3,162,"-","-"
"105","192.168.50.50",1115,30,1860,30,1860,0,0,"-","-"
"106","192.168.12.128",1212,34,5207,18,2873,16,2334,"-","-"
"107","192.168.50.50",1118,208,12236,208,12236,0,0,"-","-"
"108","192.168.50.50",1119,30,1860,30,1860,0,0,"-","-"
"109","192.168.50.50",1120,30,1860,30,1860,0,0,"-","-"
"110","192.168.12.51",2521,28,1536,25,1374,3,162,"-","-"
"111","192.168.50.50",1121,515,27826,515,27826,0,0,"-","-"
"112","83.133.119.197",80,20737,5234197,0,0,20737,5234197,"-","-"
"113","192.168.50.50",1122,30,1860,30,1860,0,0,"-","-"
"114","192.168.50.50",1123,30,1860,30,1860,0,0,"-","-"
